time,action,target_price,target_volume,trade_price,trade_volume,status
2018-09-02 06:00:00,buy,3.77,3.94,-1.0,0.0,未成交
2018-09-02 06:00:00,sell,2.94,3.58,-1.0,0.0,未成交
2018-09-03 06:00:00,buy,1.73,4.11,-1.0,0.0,未成交
2018-09-03 06:00:00,sell,5.49,3.09,-1.0,0.0,未成交
2018-09-04 21:00:00,buy,3.01,3.45,-1.0,0.0,未成交
2018-09-04 21:00:00,sell,3.81,3.8,-1.0,0.0,未成交
2018-09-05 10:00:00,buy,1.53,4.4,-1.0,0.0,未成交
2018-09-05 10:00:00,sell,5.24,3.72,-1.0,0.0,未成交
2018-09-06 02:00:00,buy,1.71,3.08,-1.0,0.0,未成交
2018-09-06 02:00:00,sell,3.48,2.82,-1.0,0.0,未成交
2018-09-07 16:00:00,buy,2.77,4.83,4.11,0.0,未成交
2018-09-07 16:00:00,sell,4.08,3.07,4.11,3.07,完全成交
2018-09-08 21:00:00,buy,2.71,3.33,-1.0,0.0,未成交
2018-09-08 21:00:00,sell,4.28,4.99,-1.0,0.0,未成交
